"Category","RGS","AC","PValue","Bonferroni"
"Non-coding RNA: tRNA",140,628,1.84149931549234e-47,2.44919408960481e-45
"Extracellular material: collagen",40,184,7.77724371624033e-15,1.03437341425996e-12
"Proteolysis proteasome: E3: F box",60,437,2.95665216652896e-13,3.93234738148352e-11
"Pseudogene",153,2081,4.53355510245203e-09,6.0296282862612e-07
"Unassigned",264,4113,9.81325192038353e-09,1.30516250541101e-06
"Unassigned: regulated by multiple stresses",125,1707,1.05607464208212e-07,1.40457927396922e-05
"Transmembrane protein: seven transmembrane receptor: srbc",13,70,3.39009317480754e-05,0.00450882392249403
